category,test_index,true_label,predicted_label,prob_positive,text,exp2_top_attention_tokens
near_threshold_error,4169,0,1,0.5005,Well it's over when they want it to be underwear night 11-to whenever they feel it's over,"underwear(0.41), well(0.16), whenever(0.12), night(0.09), want(0.09)"
near_threshold_error,1772,0,1,0.5005,"Definitely not one of the nicer Hiltons I've stayed at, but close to the airport...so its convenient and the inside of the place is nice enough.  Not the place you want to leave ANY valuables in your car though...the parking lot is dark in a lot of places, spaces can be finicky finding depending how busy they are and it's not in the greatest area of town.  In fact it was kind of comical...I left the hotel in the evening to grab a bite to eat...and less than a mile down the road was strip club after strip club...if that's any indication of the area.  Next door is a Holiday Inn and honestly I would recommend getting the rates on both and just staying at the cheeper one.","definitely(0.07), not(0.06), cheeper(0.04), not(0.04), indication(0.04)"
near_threshold_error,29447,1,0,0.4993,"Great place to feed your caffeine addiction. Quality coffee, lattes, and tea. The menu is limited. I ordered the chicken salad. Not bad at all, but the sandwich was thrown together and the chips were from the bottom of the bag (crumbled and smashed! Gheez! just open a new bag). The dessert, though a good variety, looked old and stale. There were at least 2 flies on the chocolate croissants. The location is pleasing as you can take a moment to walk over to TCBY or Mellow Mushroom. Also the movie theater is upstairs if you prefer.","great(0.08), stale(0.08), throw(0.06), place(0.05), least(0.05)"
near_threshold_error,8723,1,0,0.4991,"went in tonight on my way home and scored two pairs of $35 sweats for $12 each, yea!!! also found a beanie for my kid for $7 not such a great deal but it does have a Nike swoosh on it and we all know that = $$$$ it was marked down from $15. this place is hit and miss but i have always been able to find a decent deal on something i wanted when i go in. check it out. the mall is kind of dumpy but they are remodeling it so hopefully one day it will be nice.","score(0.08), miss(0.07), not(0.07), two(0.05), pair(0.04)"
near_threshold_error,5190,0,1,0.5017,"After shopping on-and-off here for nearly 5-years, it's time for a quick update, and a slight downgrade.  - Parking lot. Always cramped, especially when they park a 53' long refrigerated semi trailer or some other type of temporary something-or-another across one entire row of parking stalls. Most recent visit yielded exactly zero open parking spots for the entire lot... granted, it was NYE, but crikey.  - Produce quality. Not sure what it is, but the produce has been on a fairly steady decline for a while now. Lots of shriveled peppers and wrinkly tomatoes... anemic asparagus... brownish limes.   - Pricing. I grabbed a small package of cremini mushrooms and almost had a heart attack when they rang-up as $4.99 for 8oz. The *exact same brand* can be purchased at Woodman's (yes, organic, and yes - the exact same brand) for $1.99. A single red bell pepper was $4.29 here as well. No thanks.  - Cramped aisles. Always hard to navigate through/around; worse when it's busy or when they are restocking things.  - Salad bar. I challenge you to find protein on the salad bar. I'm a guy who likes a little chicken or turkey or ham on his salad... I've scoured that thing a dozen times and cannot find any meats anywhere. If I'm missing them, someone tell me.  + Samples. Everyone knows how great the free samples here are.  + Meat department. It's improved! I've been teaching grilling classes for most of the summer, and this is my primary source for those grilling goods. There's an older butcher there who is superb - very helpful and knowledgeable.   + Bakery. So good. Lots of sinful treats to choose from - all look and taste delish.  + Staff. Always friendly, always helpful.   The biggest reasons for the downgrade? Size, produce, and pricing. My last visit cost $39.73; had I purchased the same stuff from Willy Street or Woodman's, I guarantee it would've been under/around $20. I find myself shopping here less and less often because of this.","53(0.02), knowledgeable(0.02), sinful(0.02), wrinkly(0.02), shrivel(0.02)"
slice_failure[high_unk_rate(>10%)],1256,0,1,0.999,"What era is this?  That was my first thought as I stepped into this restaurant.  Mirrored ceilings, velvet upholstered chairs, cheetah print fabric -- it was like I was in the 80's or in the movie \""""Scarface.\""""  The place was pretty quiet and the atmosphere would be good for maybe a birthday or a graduation dinner.   I came here with some clients for dinner (on a weeknight) while we were in Phoenix.  There were 2 or 3 other tables here that night; not very busy.     The menu had a good selection of various Italian dishes: pastas, seafood, chicken, veal, pork, etc.   For starters, we all shared the Calamari (http://www.yelp.com/biz_photos/avanti-phoenix?select=ZZCRKeBcrFxbb4fZyaKsWw#KrxhHm5bvPqPTmXfpO2rjA) and the Escargot De Bourhohne (http://www.yelp.com/biz_photos/avanti-phoenix?select=ZZCRKeBcrFxbb4fZyaKsWw#_lPAyaWEzQ9QK92_i6trfA).  The Calamari was delicious!  The batter was light and crisp, and the squid was pretty tender.  The Escargot was cooked in garlic butter and brandy wine, which gave it some nice flavors.  It was a little chewy, but it pretty much tasted like a clam.   We all shared a bottle of the 2010 Markham Merlot (Napa Valley) -- this had a nutty, vanilla, woodsy flavor.  We all ordered seafood so it paired nicely with our dishes.  (http://www.yelp.com/biz_photos/avanti-phoenix?select=ZZCRKeBcrFxbb4fZyaKsWw#ofGN_r7-hk5EeZkx8W0h1g)  For my main dish, I went with one of the specials offered that night, the Squid Ink Ciopinno (http://www.yelp.com/biz_photos/avanti-phoenix?select=ZZCRKeBcrFxbb4fZyaKsWw#RCrj3Z_O7IyIUIVA6r5bTg).  This seemed more like a pasta rather than a ciopinno in my opinion.  What I love the most about ciopinno is that savory, rich, seafood broth.  This one didn't have any broth, it was more like a tomato sauce.  Although this dish did include a generous amount of seafood (mussels, shrimp, scallop), it didn't taste very fresh and had a rubbery texture.   A few people at my table ordered the Dover Sole special that was available that night  (http://www.yelp.com/biz_photos/avanti-phoenix?select=ZZCRKeBcrFxbb4fZyaKsWw#9eQoEjUq1Ayiw6iKw4H5dg_.  This fish was fried whole, and then your server removes the fillet from the head/tail right before he served you.  Someone else ordered the Dover Sole dish that was available on the dinner menu (http://www.yelp.com/biz_photos/avanti-phoenix?select=ZZCRKeBcrFxbb4fZyaKsWw#RFHGeb_vykwNYJeIQv_fDA).  She did not seem to enjoy this very much.  I had a taste of it and it had a murky/mushy taste and texture to it.  The sauce was very buttery-- I prefer the fried Dover over this one.  Dessert was okayyy.  I ordered the Spumoni  (http://www.yelp.com/biz_photos/avanti-phoenix?select=ZZCRKeBcrFxbb4fZyaKsWw#RlDB83kUQaeOOU-6EItG8A).  It looks like a vanilla turd, lol.  The texture of the ice cream tasted like those ice cream cups you'd get in elementary school-- icee, not creamy, and dirzzled with some Hershey's chocolate syrup.. what a disappointment.  The sorbet was a lot better than the Spumoni and was a refreshing palate cleanser (http://www.yelp.com/biz_photos/avanti-phoenix?select=ZZCRKeBcrFxbb4fZyaKsWw#3go2OFhMl_zK2GETMSYJjg).  The Tiramisu (http://www.yelp.com/biz_photos/avanti-phoenix?select=ZZCRKeBcrFxbb4fZyaKsWw#pOWH0I8A7J4-UFByf4FR_A) was average.. not great and not bad.   In my opinion, the prices here are super steep, especially for most of the dishes we orderded.  Service-wise, we were welcomed upon entrance and our server was very attentive... but only in the beginning of the meal.  It took us forever to get our check.","delicious(0.02), woodsy(0.02), escargot(0.02), cheetah(0.02), escargot(0.02)"
slice_failure[high_unk_rate(>10%)],36104,0,1,0.9985,"Das HubRaum ist f\u00fcr mich die Sommerkneipe in Durlach. Sch\u00f6n ruhig und im Gr\u00fcnen gelegen, bietet es reichlich Parkpl\u00e4tze, die aber auch belegt sind wenn das Lokal voll wird. Das Ambiente mit dem Sandbereich ist einzigartig und so f\u00fchlt man sich auch gleich richtig wohl. Wir waren schon zu zweit und in einer gr\u00f6\u00dferen Gruppe dort und fandes jedesmal alles prima. Auch das Essen war immer lecker obwohl oder vielleicht auch weil die Speisekarte nicht zu umfangreich ist. Komisch ist jedoch, wieso gibt es weniger Wurstsalat, wenn als Beilage noch Pommes mitbestellt werden? :-(  Wir hatten f\u00fcnf Portionen am Tisch und das war schon sehr auff\u00e4llig.","bietet(0.04), prima(0.04), reichlich(0.03), al(0.03), die(0.03)"
slice_failure[high_unk_rate(>10%)],35963,0,1,0.9968,"Interessante Gestaltung, mitten in der Stadt, unfreundliche Bedienung und ekelhafte Getr\u00e4nke, ein Stern ist da fast zu viel.","fast(0.12), ist(0.11), zu(0.10), viel(0.08), u00e4nke(0.05)"
slice_failure[high_unk_rate(>10%)],19328,0,1,0.9952,"On n'y va QUE pour la section fruits et l\u00e9gumes, toujours bien remplie. Sinon, c'est sale! Les \u00e9tag\u00e8res sont sans dessus dessous, \u00e0 moiti\u00e9 vides. Inutile de s'\u00e9terniser sur le sujet. On y va en cas de grande n\u00e9cessit\u00e9. Uniquement.","bien(0.08), remplie(0.07), toujours(0.07), u00e9gumes(0.07), dessous(0.07)"
slice_failure[high_unk_rate(>10%)],27150,0,1,0.9923,"Die Cocktails waren einen Besuch wert, alles andere war eher entt\u00e4uschend bei unserem Besuch. Ideal zentral und ein wenig ausgefallen (Prinz-Max-Palais) gelegen, entt\u00e4uschte vor allem die Einrichtung mit der Abwesenheit jeglicher Atmosph\u00e4re (mit Ausnahme einer sterilen Krankenhauszelle evtl.) und die mehr abwesende und gleichg\u00fcltige als freundliche Bedienung.","palais(0.05), wert(0.05), freundliche(0.04), ideal(0.04), entt(0.04)"
